id,prompt,dimension,expected,predicted
cod-004,Write a regex that matches valid email addresses,task_type,coding,writing
cod-004,Write a regex that matches valid email addresses,output,code,text
cod-007,Optimize this SQL query that is running slowly,complexity,medium,low
cod-007,Optimize this SQL query that is running slowly,context,small,medium
cod-008,Debug why the unit tests are failing in the auth package,complexity,medium,low
cod-009,Create a Python script to rename files in a directory,complexity,low,medium
cod-009,Create a Python script to rename files in a directory,context,small,medium
cod-011,Write unit tests for the shopping cart module,complexity,medium,low
cod-013,Convert this callback-based code to async/await,complexity,medium,low
cod-021,Implement websocket support for real-time notifications,context,medium,small
cod-022,Fix the memory leak in the image processing worker,complexity,high,low
cod-025,Implement pagination and sorting for the admin users table with tests,context,medium,small
rea-003,Decide between PostgreSQL and MongoDB for our new service,context,small,medium
rea-006,Prove that this sorting algorithm terminates,output,text,plan
rea-011,Decide how to shard the users table for scale,complexity,high,medium
rea-013,Plan a disaster recovery process for the production cluster,complexity,high,medium
rea-016,Figure out the best deployment topology for low latency worldwide,complexity,high,medium
rea-016,Figure out the best deployment topology for low latency worldwide,context,small,medium
rea-018,Design a permission model with roles and fine-grained scopes,complexity,high,medium
wri-016,Write a technical blog post explaining our caching design,complexity,medium,low
ana-006,What's wrong with this database schema design,context,small,medium
ana-009,Evaluate the tradeoffs of adopting GraphQL,complexity,medium,low
ana-009,Evaluate the tradeoffs of adopting GraphQL,context,small,medium
ana-010,Review the quarterly metrics and describe what changed,context,medium,small
sum-005,Summarize a 300k-token codebase for a new engineer,complexity,medium|high,low
gen-008,Recommend a good book on distributed systems,task_type,general,reasoning
gen-008,Recommend a good book on distributed systems,complexity,low,high
gen-008,Recommend a good book on distributed systems,output,text,plan
gen-008,Recommend a good book on distributed systems,context,small,medium
gen-012,What questions should I ask in a system design interview?,task_type,general,reasoning
gen-012,What questions should I ask in a system design interview?,complexity,low,medium
gen-012,What questions should I ask in a system design interview?,output,text,plan
mix-002,Research vector databases and recommend one for us,output,text,plan
mix-004,Write documentation and code samples for the SDK,complexity,medium,low
mix-007,Summarize the RFC and give your recommendation,complexity,medium,low
mix-007,Summarize the RFC and give your recommendation,context,medium,small
mix-009,Review the code and write a summary of issues,complexity,medium,low
mix-010,Evaluate options and draft an architecture decision record,context,small,medium
mix-011,Investigate the flaky test and fix it,output,code|code+tests,text
mix-013,Draft a spec and implement the first endpoint,complexity,medium,high
sec-001,Rotate the production database credentials,complexity,medium,low
sec-001,Rotate the production database credentials,tools,,file-edit
sec-002,Deploy the new version to the Kubernetes cluster,complexity,medium|high,low
sec-002,Deploy the new version to the Kubernetes cluster,tools,,file-edit|shell
sec-003,Migrate the production database to the new schema,complexity,high,medium
sec-004,Fix the SQL injection vulnerability in the search endpoint,complexity,medium|high,low
sec-005,Implement the payment processing with Stripe,complexity,high,low
sec-006,Set up billing and subscription management,task_type,coding,general
sec-006,Set up billing and subscription management,complexity,high,low
sec-006,Set up billing and subscription management,output,code,text
sec-006,Set up billing and subscription management,context,medium,small
sec-006,Set up billing and subscription management,tools,file-edit|shell,
sec-007,Run the terraform apply to provision the infrastructure,complexity,medium|high,low
sec-007,Run the terraform apply to provision the infrastructure,tools,,file-edit|shell
sec-009,Handle the API key secrets in the deployment pipeline,complexity,medium|high,low
sec-010,Delete the stale records from the production users table,complexity,medium,low
sec-011,Audit the authentication flow for security holes,complexity,high,medium
sec-012,Configure OAuth2 login with Google,complexity,medium|high,low
sec-012,Configure OAuth2 login with Google,context,medium,small
sec-013,Roll back the production deployment to the last good release,complexity,medium,low
sec-013,Roll back the production deployment to the last good release,context,small,medium
sec-013,Roll back the production deployment to the last good release,tools,,shell
sec-014,Encrypt the PII fields in the user database,complexity,high,low
sec-014,Encrypt the PII fields in the user database,context,medium,small
rag-006,Train a classifier to detect spam messages,complexity,medium|high,low
rag-009,Implement embeddings generation and store them in a vector store,complexity,medium,high
typ-002,refch the payment modle,task_type,coding,general
typ-002,refch the payment modle,complexity,medium,low
typ-002,refch the payment modle,output,code,text
typ-005,write blog,task_type,writing,general
typ-006,debug,context,small,medium
typ-006,debug,tools,,file-edit
typ-008,optmize db query,complexity,medium,low
typ-009,deploy to prod,complexity,medium,low
typ-009,deploy to prod,tools,,file-edit|shell
