id,prompt,dimension,expected,predicted
cod-002,Fix a null pointer exception in the login handler,risk,medium|high,low
cod-002,Fix a null pointer exception in the login handler,approval,human-approval-required|notify,auto
cod-002,Fix a null pointer exception in the login handler,tools,file-edit,
cod-005,Build a REST API for a todo application with CRUD endpoints,complexity,medium|high,low
cod-005,Build a REST API for a todo application with CRUD endpoints,tools,file-edit|shell,shell
cod-006,Add pagination to the products endpoint,context,medium,small
cod-006,Add pagination to the products endpoint,tools,file-edit,
cod-007,Optimize this SQL query that is running slowly,complexity,medium,low
cod-007,Optimize this SQL query that is running slowly,risk,medium,low
cod-007,Optimize this SQL query that is running slowly,approval,notify,auto
cod-007,Optimize this SQL query that is running slowly,tools,,shell
cod-008,Debug why the unit tests are failing in the auth package,complexity,medium,low
cod-008,Debug why the unit tests are failing in the auth package,context,medium,small
cod-008,Debug why the unit tests are failing in the auth package,tools,file-edit|shell,shell
cod-009,Create a Python script to rename files in a directory,context,small,medium
cod-009,Create a Python script to rename files in a directory,tools,shell,file-edit
cod-010,Implement JWT authentication middleware for the API,complexity,medium|high,low
cod-010,Implement JWT authentication middleware for the API,context,medium,small
cod-010,Implement JWT authentication middleware for the API,tools,file-edit,
cod-011,Write unit tests for the shopping cart module,complexity,medium,low
cod-012,Add a dark mode toggle to the settings page,task_type,coding,general
cod-012,Add a dark mode toggle to the settings page,output,code,text
cod-012,Add a dark mode toggle to the settings page,tools,file-edit,
cod-013,Convert this callback-based code to async/await,complexity,medium,low
cod-013,Convert this callback-based code to async/await,tools,file-edit,
cod-014,Implement rate limiting on the public endpoints,complexity,medium,low
cod-014,Implement rate limiting on the public endpoints,risk,medium|high,low
cod-014,Implement rate limiting on the public endpoints,context,medium,small
cod-014,Implement rate limiting on the public endpoints,approval,human-approval-required|notify,auto
cod-014,Implement rate limiting on the public endpoints,tools,file-edit,
cod-015,Build a CLI tool that converts CSV to JSON,tools,file-edit|shell,shell
cod-016,Refactor the entire authentication system across the codebase,complexity,high,medium
cod-016,Refactor the entire authentication system across the codebase,tools,file-edit|shell,file-edit
cod-017,Add input validation to the signup form,task_type,coding,general
cod-017,Add input validation to the signup form,risk,medium,low
cod-017,Add input validation to the signup form,output,code,text
cod-017,Add input validation to the signup form,approval,notify,auto
cod-017,Add input validation to the signup form,tools,file-edit,
cod-018,Implement a caching layer with Redis for the product service,complexity,medium|high,low
cod-018,Implement a caching layer with Redis for the product service,risk,medium,low
cod-018,Implement a caching layer with Redis for the product service,context,medium,small
cod-018,Implement a caching layer with Redis for the product service,approval,notify,auto
cod-018,Implement a caching layer with Redis for the product service,tools,file-edit|shell,
cod-019,Write a bash script to back up the database nightly,tools,shell,
cod-020,Create a React component for a searchable dropdown,task_type,coding,general
cod-020,Create a React component for a searchable dropdown,output,code,text
cod-020,Create a React component for a searchable dropdown,tools,file-edit,
